SYMBOL,PROFIT,NAME OF COMPANY
NTPC,452.3657,NTPC Limited
IRFC,434.31738,Indian Railway Finance Corporation Limited
IFCI,185.20804,IFCI Limited
HUDCO,170.1236,Housing & Urban Development Corporation Limited
BRITANNIA,154.43044,Britannia Industries Limited
RECLTD,56.029526,REC Limited
IBULHSGFIN,47.703186,Indiabulls Housing Finance Limited
NHPC,28.592245,NHPC Limited
PFC,23.743364,Power Finance Corporation Limited
SRTRANSFIN,15.02904,Shriram Transport Finance Company Limited
HDFC,5.114503,Housing Development Finance Corporation Limited
IIFL,4.9946337,IIFL Finance Limited
UGROCAP,3.7883325,Ugro Capital Limited
UCOBANK,1.4931507,UCO Bank
KAMDHENU,1.4284275,Kamdhenu Limited
PSB,1.368421,Punjab & Sind Bank
UNITEDPOLY,1.3214287,United Polyfab Gujarat Limited
M&MFIN,1.2174616,Mahindra & Mahindra Financial Services Limited
FACT,1.2102879,Fertilizers and Chemicals Travancore Limited
AKSHAR,1.104435,Akshar Spintex Limited
VERTOZ,1.0958716,Vertoz Advertising Limited
DHANBANK,0.8421052,Dhanlaxmi Bank Limited
BSHSL,0.81157404,Bombay Super Hybrid Seeds Limited
SUMIT,0.8095237,Sumit Woods Limited
MADRASFERT,0.8049029,Madras Fertilizers Limited
