SYMBOL,PROFIT,NAME OF COMPANY,TIMESTAMP
GRSE,0.09090909,Garden Reach Shipbuilders & Engineers Limited,22-NOV-2022
ARSHIYA,0.08743172,Arshiya Limited,22-NOV-2022
TARAPUR,0.086419724,Tarapur Transformers Limited,22-NOV-2022
UCOBANK,0.08549231,UCO Bank,22-NOV-2022
JPASSOCIAT,0.08474576,Jaiprakash Associates Limited,22-NOV-2022
DNAMEDIA,0.082191765,Diligent Media Corporation Limited,22-NOV-2022
DVL,0.07989143,Dhunseri Ventures Limited,22-NOV-2022
ONELIFECAP,0.07905138,Onelife Capital Advisors Limited,22-NOV-2022
UNITEDPOLY,0.078149885,United Polyfab Gujarat Limited,22-NOV-2022
HNDFDS,0.07549998,Hindustan Foods Limited,22-NOV-2022
KABRAEXTRU,0.1964824,Kabra Extrusion Technik Limited,21-NOV-2022
ALPA,0.19014086,Alpa Laboratories Limited,21-NOV-2022
UCOBANK,0.18412696,UCO Bank,21-NOV-2022
SKIPPER,0.16826922,Skipper Limited,21-NOV-2022
SWANENERGY,0.15292792,Swan Energy Limited,21-NOV-2022
MAHABANK,0.13609463,Bank of Maharashtra,21-NOV-2022
CREATIVE,0.11129032,Creative Newtech Limited,21-NOV-2022
NGIL,0.10471205,Nakoda Group of Industries Limited,21-NOV-2022
REFEX,0.10266669,Refex Industries Limited,21-NOV-2022
GANGAFORGE,0.098765336,Ganga Forging Limited,21-NOV-2022
PSB,0.098445676,Punjab & Sind Bank,21-NOV-2022
IZMO,0.09430376,IZMO Limited,21-NOV-2022
CENTRALBK,0.091101676,Central Bank of India,21-NOV-2022
IOB,0.09069771,Indian Overseas Bank,21-NOV-2022
IFCI,0.09051717,IFCI Limited,21-NOV-2022
ESCORTS,0.0855413,Escorts Kubota Limited,21-NOV-2022
EASEMYTRIP,0.08113206,Easy Trip Planners Limited,21-NOV-2022
MADRASFERT,0.07999997,Madras Fertilizers Limited,21-NOV-2022
DISHTV,0.079268366,Dish TV India Limited,21-NOV-2022
VAISHALI,0.07334211,Vaishali Pharma Limited,21-NOV-2022
MARKSANS,0.07230044,Marksans Pharma Limited,21-NOV-2022
NAGREEKEXP,0.0706605,Nagreeka Exports Limited,21-NOV-2022
FINCABLES,0.07065374,Finolex Cables Limited,21-NOV-2022
CAMLINFINE,0.06884803,Camlin Fine Sciences Limited,21-NOV-2022
DHANBANK,0.06785713,Dhanlaxmi Bank Limited,21-NOV-2022
BIOFILCHEM,0.18518518,Biofil Chemicals & Pharmaceuticals Limited,18-NOV-2022
IFBIND,0.15939702,IFB Industries Limited,18-NOV-2022
VAISHALI,0.12849998,Vaishali Pharma Limited,18-NOV-2022
REVATHI,0.10019529,Revathi Equipment Limited,18-NOV-2022
ALICON,0.097950794,Alicon Castalloy Limited,18-NOV-2022
FOCUS,0.09108325,Focus Lighting and Fixtures Limited,18-NOV-2022
HONDAPOWER,0.08772727,Honda India Power Products Limited,18-NOV-2022
IZMO,0.086325966,IZMO Limited,18-NOV-2022
KOKUYOCMLN,0.08517549,Kokuyo Camlin Limited,18-NOV-2022
SHIVALIK,0.08511213,Shivalik Rasayan Limited,18-NOV-2022
CYBERMEDIA,0.08241758,Cyber Media (India) Limited,18-NOV-2022
MAHABANK,0.079569906,Bank of Maharashtra,18-NOV-2022
TCPLPACK,0.07798598,TCPL Packaging Limited,18-NOV-2022
MEDICAMEQ,0.0747134,Medicamen Biotech Limited,18-NOV-2022
SIRCA,0.07441134,Sirca Paints India Limited,18-NOV-2022
ESABINDIA,0.07374721,Esab India Limited,18-NOV-2022
LUMAXIND,0.07335037,Lumax Industries Limited,18-NOV-2022
SUPREMEENG,0.07142859,Supreme Engineering Limited,18-NOV-2022
GRAPHITE,0.07035105,Graphite India Limited,18-NOV-2022
ROHLTD,0.06990478,Royal Orchid Hotels Limited,18-NOV-2022
POLICYBZR,0.0686496,PB Fintech Limited,18-NOV-2022
KSL,0.06605351,Kalyani Steels Limited,18-NOV-2022
BINDALAGRO,0.06529851,Oswal Chemicals & Fertilizers Limited,18-NOV-2022
IBREALEST,0.06503071,Indiabulls Real Estate Limited,18-NOV-2022
PPLPHARMA,0.0641377,Piramal Pharma Limited,18-NOV-2022
TIMKEN,0.18646362,Timken India Limited,17-NOV-2022
ARCHIES,0.13725488,Archies Limited,17-NOV-2022
ISFT,0.125,Intrasoft Technologies Limited,17-NOV-2022
VCL,0.12299461,Vaxtex Cotfab Limited,17-NOV-2022
ENGINERSIN,0.10396715,Engineers India Limited,17-NOV-2022
GOACARBON,0.09999996,Goa Carbon Limited,17-NOV-2022
CHEMBOND,0.090248965,Chembond Chemicals Ltd,17-NOV-2022
BHAGERIA,0.08291143,Bhageria Industries Limited,17-NOV-2022
DREDGECORP,0.07100439,Dredging Corporation of India Limited,17-NOV-2022
HARIOMPIPE,0.07095674,Hariom Pipe Industries Limited,17-NOV-2022
KIRLOSENG,0.0680124,Kirloskar Oil Engines Limited,17-NOV-2022
HCC,0.066879,Hindustan Construction Company Limited,17-NOV-2022
VINDHYATEL,0.06676113,Vindhya Telelinks Limited,17-NOV-2022
FOODSIN,0.065966375,Foods & Inns Limited,17-NOV-2022
BALMLAWRIE,0.06324115,Balmer Lawrie & Company Limited,17-NOV-2022
SRPL,0.062926486,Shree Ram Proteins Limited,17-NOV-2022
TEAMLEASE,0.060770202,Teamlease Services Limited,17-NOV-2022
NLCINDIA,0.060645994,NLC India Limited,17-NOV-2022
EQUITAS,0.06059092,Equitas Holdings Limited,17-NOV-2022
NECCLTD,0.060240965,North Eastern Carrying Corporation Limited,17-NOV-2022
GODFRYPHLP,0.059857577,Godfrey Phillips India Limited,17-NOV-2022
UNIVCABLES,0.059193492,Universal Cables Limited,17-NOV-2022
NACLIND,0.058049053,NACL Industries Limited,17-NOV-2022
3PLAND,0.057575803,3P Land Holdings Limited,17-NOV-2022
BANKA,0.055702876,Banka BioLoo Limited,17-NOV-2022
LOTUSEYE,0.13695648,Lotus Eye Hospital and Institute Limited,16-NOV-2022
RAJSREESUG,0.13390316,Rajshree Sugars & Chemicals Limited,16-NOV-2022
HUDCO,0.11570252,Housing & Urban Development Corporation Limited,16-NOV-2022
HCC,0.09507045,Hindustan Construction Company Limited,16-NOV-2022
GLOBAL,0.092221476,Global Education Limited,16-NOV-2022
ATULAUTO,0.090470865,Atul Auto Limited,16-NOV-2022
CAREERP,0.08826953,Career Point Limited,16-NOV-2022
KIRLOSENG,0.087132685,Kirloskar Oil Engines Limited,16-NOV-2022
SIMBHALS,0.08478807,Simbhaoli Sugars Limited,16-NOV-2022
DBOL,0.083627775,Dhampur Bio Organics Limited,16-NOV-2022
SHRENIK,0.08108107,Shrenik Limited,16-NOV-2022
KCPSUGIND,0.07999997,KCP Sugar and Industries Corporation Limited,16-NOV-2022
ANDREWYU,0.079625234,Andrew Yule & Company Limited,16-NOV-2022
KOVAI,0.07740495,Kovai Medical Center and Hospital Limited,16-NOV-2022
HONDAPOWER,0.076785386,Honda India Power Products Limited,16-NOV-2022
ISFT,0.07660549,Intrasoft Technologies Limited,16-NOV-2022
FINPIPE,0.076130405,Finolex Industries Limited,16-NOV-2022
MAWANASUG,0.07440671,Mawana Sugars Limited,16-NOV-2022
POWERMECH,0.07398423,Power Mech Projects Limited,16-NOV-2022
DPABHUSHAN,0.07346247,D. P. Abhushan Limited,16-NOV-2022
DISHTV,0.07333336,Dish TV India Limited,16-NOV-2022
PONNIERODE,0.07288023,Ponni Sugars (Erode) Limited,16-NOV-2022
COSMOFIRST,0.07120762,COSMO FIRST LIMITED,16-NOV-2022
BCLIND,0.07052115,Bcl Industries Limited,16-NOV-2022
IRFC,0.06944444,Indian Railway Finance Corporation Limited,16-NOV-2022
RGL,0.18585615,Renaissance Global Limited,15-NOV-2022
AKSHARCHEM,0.16786943,AksharChem India Limited,15-NOV-2022
ALKALI,0.123629905,Alkali Metals Limited,15-NOV-2022
LINC,0.12090195,Linc Limited,15-NOV-2022
BCLIND,0.102867424,Bcl Industries Limited,15-NOV-2022
VISHNU,0.102453806,Vishnu Chemicals Limited,15-NOV-2022
WINDMACHIN,0.100105375,Windsor Machines Limited,15-NOV-2022
NIPPOBATRY,0.0964953,Indo-National Limited,15-NOV-2022
BALKRISIND,0.09066664,Balkrishna Industries Limited,15-NOV-2022
ARCHIES,0.09020619,Archies Limited,15-NOV-2022
RVNL,0.08400359,Rail Vikas Nigam Limited,15-NOV-2022
REFEX,0.078341015,Refex Industries Limited,15-NOV-2022
GABRIEL,0.07648131,Gabriel India Limited,15-NOV-2022
RAILTEL,0.0743671,Railtel Corporation Of India Limited,15-NOV-2022
NILAINFRA,0.074074075,Nila Infrastructures Limited,15-NOV-2022
JCHAC,0.073461175,Johnson Controls - Hitachi Air Conditioning India Limited,15-NOV-2022
VERTOZ,0.07103223,Vertoz Advertising Limited,15-NOV-2022
BANSWRAS,0.07066976,Banswara Syntex Limited,15-NOV-2022
BESTAGRO,0.069228314,Best Agrolife Limited,15-NOV-2022
PRECWIRE,0.06849998,Precision Wires India Limited,15-NOV-2022
REVATHI,0.06793334,Revathi Equipment Limited,15-NOV-2022
NCC,0.063902065,NCC Limited,15-NOV-2022
APARINDS,0.06305859,Apar Industries Limited,15-NOV-2022
KIRLOSIND,0.0610295,Kirloskar Industries Limited,15-NOV-2022
SURYAROSNI,0.05853133,Surya Roshni Limited,15-NOV-2022
GSS,0.15528499,GSS Infotech Limited,14-NOV-2022
ROSSELLIND,0.14425792,Rossell India Limited,14-NOV-2022
TRIDENT,0.14354841,Trident Limited,14-NOV-2022
KIRLOSBROS,0.1210756,Kirloskar Brothers Limited,14-NOV-2022
MARATHON,0.1113065,Marathon Nextgen Realty Limited,14-NOV-2022
AXISCADES,0.10505717,AXISCADES Technologies Limited,14-NOV-2022
FIEMIND,0.10386062,Fiem Industries Limited,14-NOV-2022
DREDGECORP,0.10351856,Dredging Corporation of India Limited,14-NOV-2022
JTEKTINDIA,0.101518,Jtekt India Limited,14-NOV-2022
DCAL,0.08461542,Dishman Carbogen Amcis Limited,14-NOV-2022
NEULANDLAB,0.08381775,Neuland Laboratories Limited,14-NOV-2022
HILTON,0.08333338,Hilton Metal Forging Limited,14-NOV-2022
KIMS,0.08262073,Krishna Institute of Medical Sciences Limited,14-NOV-2022
RAYMOND,0.07228666,Raymond Limited,14-NOV-2022
MANAPPURAM,0.07215072,Manappuram Finance Limited,14-NOV-2022
STAR,0.07109591,Strides Pharma Science Limited,14-NOV-2022
CINELINE,0.07028299,Cineline India Limited,14-NOV-2022
SKIPPER,0.06891594,Skipper Limited,14-NOV-2022
CEREBRAINT,0.06805558,Cerebra Integrated Technologies Limited,14-NOV-2022
HNDFDS,0.06660234,Hindustan Foods Limited,14-NOV-2022
MMP,0.06556775,MMP Industries Limited,14-NOV-2022
MAGNUM,0.06430159,Magnum Ventures Limited,14-NOV-2022
GOODLUCK,0.06349207,Goodluck India Limited,14-NOV-2022
REPCOHOME,0.0627291,Repco Home Finance Limited,14-NOV-2022
CHEMFAB,0.061063424,Chemfab Alkalis Limited,14-NOV-2022
LUMAXIND,0.15025838,Lumax Industries Limited,11-NOV-2022
GILLANDERS,0.14742196,Gillanders Arbuthnot & Company Limited,11-NOV-2022
SWANENERGY,0.13078703,Swan Energy Limited,11-NOV-2022
ROSSELLIND,0.1286417,Rossell India Limited,11-NOV-2022
BANSWRAS,0.124582365,Banswara Syntex Limited,11-NOV-2022
ZOMATO,0.10303035,Zomato Limited,11-NOV-2022
HNDFDS,0.102958605,Hindustan Foods Limited,11-NOV-2022
COCHINSHIP,0.100689694,Cochin Shipyard Limited,11-NOV-2022
LOTUSEYE,0.09784177,Lotus Eye Hospital and Institute Limited,11-NOV-2022
SAKSOFT,0.09771211,Saksoft Limited,11-NOV-2022
NYKAA,0.08170707,FSN E-Commerce Ventures Limited,11-NOV-2022
RPGLIFE,0.076310426,RPG Life Sciences Limited,11-NOV-2022
DCXINDIA,0.07473872,DCX Systems Limited,11-NOV-2022
ARVSMART,0.072360866,Arvind SmartSpaces Limited,11-NOV-2022
SMSPHARMA,0.06785716,SMS Pharmaceuticals Limited,11-NOV-2022
KENNAMET,0.0639364,Kennametal India Limited,11-NOV-2022
ALLCARGO,0.06304193,Allcargo Logistics Limited,11-NOV-2022
BANG,0.06206203,Bang Overseas Limited,11-NOV-2022
LUMAXTECH,0.060504176,Lumax Auto Technologies Limited,11-NOV-2022
SECURCRED,0.060365815,SecUR Credentials Limited,11-NOV-2022
TVSSRICHAK,0.056930695,TVS Srichakra Limited,11-NOV-2022
RAJESHEXPO,0.05387639,Rajesh Exports Limited,11-NOV-2022
AFFLE,0.051581975,Affle (India) Limited,11-NOV-2022
POLICYBZR,0.050789442,PB Fintech Limited,11-NOV-2022
HDFC,0.04976245,Housing Development Finance Corporation Limited,11-NOV-2022
NEULANDLAB,0.19734982,Neuland Laboratories Limited,10-NOV-2022
PAR,0.16775677,Par Drugs And Chemicals Limited,10-NOV-2022
NYKAA,0.12724552,FSN E-Commerce Ventures Limited,10-NOV-2022
BSL,0.12722388,BSL Limited,10-NOV-2022
SANGHVIMOV,0.1268889,Sanghvi Movers Limited,10-NOV-2022
TVSSRICHAK,0.108405486,TVS Srichakra Limited,10-NOV-2022
PRINCEPIPE,0.08954368,Prince Pipes And Fittings Limited,10-NOV-2022
HARIOMPIPE,0.07437868,Hariom Pipe Industries Limited,10-NOV-2022
IONEXCHANG,0.06350831,ION Exchange (India) Limited,10-NOV-2022
NESCO,0.06214872,Nesco Limited,10-NOV-2022
ESABINDIA,0.061241023,Esab India Limited,10-NOV-2022
GODREJPROP,0.060386244,Godrej Properties Limited,10-NOV-2022
NDGL,0.059526924,Naga Dhunseri Group Limited,10-NOV-2022
HINDMOTORS,0.059523813,Hindustan Motors Limited,10-NOV-2022
WONDERLA,0.059259225,Wonderla Holidays Limited,10-NOV-2022
VERTOZ,0.059166655,Vertoz Advertising Limited,10-NOV-2022
PALASHSECU,0.057352927,Palash Securities Limited,10-NOV-2022
DAMODARIND,0.05729733,Damodar Industries Limited,10-NOV-2022
GRAUWEIL,0.057205684,Grauer & Weil (India) Limited,10-NOV-2022
ROHLTD,0.055323146,Royal Orchid Hotels Limited,10-NOV-2022
SIKKO,0.055194832,Sikko Industries Limited,10-NOV-2022
ELECTCAST,0.05408654,Electrosteel Castings Limited,10-NOV-2022
KIRLOSENG,0.054035068,Kirloskar Oil Engines Limited,10-NOV-2022
RAMASTEEL,0.052861992,Rama Steel Tubes Limited,10-NOV-2022
TOKYOPLAST,0.051815964,Tokyo Plast International Limited,10-NOV-2022
DANGEE,0.21300448,Dangee Dums Limited,09-NOV-2022
COUNCODOS,0.18987335,Country Condo's Limited,09-NOV-2022
HLVLTD,0.16190474,HLV LIMITED,09-NOV-2022
INDSWFTLAB,0.1589286,Ind-Swift Laboratories Limited,09-NOV-2022
MAGNUM,0.14018692,Magnum Ventures Limited,09-NOV-2022
KPIGREEN,0.11118509,KPI Green Energy Limited,09-NOV-2022
MOKSH,0.10655739,Moksh Ornaments Limited,09-NOV-2022
FOODSIN,0.10356785,Foods & Inns Limited,09-NOV-2022
INDSWFTLTD,0.09999996,Ind-Swift Limited,09-NOV-2022
MPSLTD,0.09207476,MPS Limited,09-NOV-2022
NGLFINE,0.08568179,NGL Fine-Chem Limited,09-NOV-2022
IWEL,0.081138946,Inox Wind Energy Limited,09-NOV-2022
UNIONBANK,0.08101271,Union Bank of India,09-NOV-2022
IGARASHI,0.080472656,Igarashi Motors India Limited,09-NOV-2022
BANKINDIA,0.07999995,Bank of India,09-NOV-2022
ANMOL,0.07915123,Anmol India Limited,09-NOV-2022
INDOBORAX,0.07627735,Indo Borax & Chemicals Limited,09-NOV-2022
FOCUS,0.07551872,Focus Lighting and Fixtures Limited,09-NOV-2022
MAXIND,0.07368421,Max India Limited,09-NOV-2022
SURYODAY,0.0726817,Suryoday Small Finance Bank Limited,09-NOV-2022
ESSENTIA,0.072580695,Integra Essentia Limited,09-NOV-2022
UNIVCABLES,0.07219995,Universal Cables Limited,09-NOV-2022
SMSPHARMA,0.07202677,SMS Pharmaceuticals Limited,09-NOV-2022
MARINE,0.067073196,Marine Electricals (India) Limited,09-NOV-2022
VERTOZ,0.06467893,Vertoz Advertising Limited,09-NOV-2022
KHAITANLTD,0.1915125,Khaitan (India) Limited,07-NOV-2022
MANORG,0.16044776,Mangalam Organics Limited,07-NOV-2022
FLEXITUFF,0.1532847,Flexituff Ventures International Limited,07-NOV-2022
JINDWORLD,0.14922117,Jindal Worldwide Limited,07-NOV-2022
SPLIL,0.13499996,SPL Industries Limited,07-NOV-2022
MAGNUM,0.13055557,Magnum Ventures Limited,07-NOV-2022
JAYNECOIND,0.12040819,Jayaswal Neco Industries Limited,07-NOV-2022
HBSL,0.11793856,HB Stockholdings Limited,07-NOV-2022
EMAMIREAL,0.10810811,Emami Realty Limited,07-NOV-2022
NIITLTD,0.10466664,NIIT Limited,07-NOV-2022
CROWN,0.10358559,Crown Lifters Limited,07-NOV-2022
SIMPLEXINF,0.09917351,Simplex Infrastructures Limited,07-NOV-2022
JMFINANCIL,0.09815069,JM Financial Limited,07-NOV-2022
DHANBANK,0.096428595,Dhanlaxmi Bank Limited,07-NOV-2022
DLINKINDIA,0.09540709,D-Link (India) Limited,07-NOV-2022
SALONA,0.0873684,Salona Cotspin Limited,07-NOV-2022
GENUSPAPER,0.087323904,Genus Paper & Boards Limited,07-NOV-2022
SMARTLINK,0.08621793,Smartlink Holdings Limited,07-NOV-2022
FOCUS,0.08467193,Focus Lighting and Fixtures Limited,07-NOV-2022
RVNL,0.08431165,Rail Vikas Nigam Limited,07-NOV-2022
GESHIP,0.08154663,The Great Eastern Shipping Company Limited,07-NOV-2022
BYKE,0.08028339,The Byke Hospitality Ltd,07-NOV-2022
SMLT,0.078290306,Sarthak Metals Limited,07-NOV-2022
GOYALALUM,0.078109,Goyal Aluminiums Limited,07-NOV-2022
KOHINOOR,0.07741348,Kohinoor Foods Limited,07-NOV-2022
GOACARBON,0.19246414,Goa Carbon Limited,04-NOV-2022
CEREBRAINT,0.19213982,Cerebra Integrated Technologies Limited,04-NOV-2022
REMSONSIND,0.18120342,Remsons Industries Limited,04-NOV-2022
KTKBANK,0.15310805,The Karnataka Bank Limited,04-NOV-2022
SILLYMONKS,0.13650791,Silly Monks Entertainment Limited,04-NOV-2022
A2ZINFRA,0.13366331,A2Z Infra Engineering Limited,04-NOV-2022
NDRAUTO,0.12442343,Ndr Auto Components Limited,04-NOV-2022
PDSL,0.123235196,PDS Limited,04-NOV-2022
IOB,0.11855676,Indian Overseas Bank,04-NOV-2022
CUBEXTUB,0.11565836,Cubex Tubings Limited,04-NOV-2022
AXISCADES,0.11041442,AXISCADES Technologies Limited,04-NOV-2022
RAINBOW,0.10622438,Rainbow Childrens Medicare Limited,04-NOV-2022
SONAMCLOCK,0.10465114,Sonam Clock Limited,04-NOV-2022
ACE,0.097622216,Action Construction Equipment Limited,04-NOV-2022
REFEX,0.095569655,Refex Industries Limited,04-NOV-2022
DHANBANK,0.09311738,Dhanlaxmi Bank Limited,04-NOV-2022
PSB,0.09064323,Punjab & Sind Bank,04-NOV-2022
GILLANDERS,0.09047614,Gillanders Arbuthnot & Company Limited,04-NOV-2022
REPCOHOME,0.08981355,Repco Home Finance Limited,04-NOV-2022
JKLAKSHMI,0.08965215,JK Lakshmi Cement Limited,04-NOV-2022
ISMTLTD,0.08596494,ISMT Limited,04-NOV-2022
VISASTEEL,0.084112175,Visa Steel Limited,04-NOV-2022
VIMTALABS,0.08380285,Vimta Labs Limited,04-NOV-2022
INDTERRAIN,0.08077988,Indian Terrain Fashions Limited,04-NOV-2022
WINDMACHIN,0.078125,Windsor Machines Limited,04-NOV-2022
